"A1"	"A2"	"A3"	"A4"	"B1"	"B2"	"B3"	"B4"
"Mangrovicoccus"	0	0	0	0	0	0	0.107991360691145	0
"Mangrovimonas"	0	0	0	0	0.160128102481986	0.189155107187894	0.215982721382289	0.0707714083510262
"Mangrovitalea"	0	0.0924214417744917	0	0	0	0	0.215982721382289	0
"Mangrovivirga"	0	0	0	0	0.0800640512409928	0	0	0.212314225053079
"Maribacter"	0	0	0.087260034904014	0	0	0	0	0
"Maribellus"	0.308641975308642	0.0924214417744917	0.43630017452007	0.834724540901502	3.76301040832666	3.34174022698613	2.80777537796976	1.69851380042463
"Marimicrobium"	0	0	0	0	0	0	0.107991360691145	0
"Marimonas"	0.154320987654321	0	0	0	0	0	0	0
"Marinagarivorans"	0	0.0924214417744917	0	0	0	0	0	0
"Mariniblastus"	0.154320987654321	0.739371534195933	0.087260034904014	0	0	0	0	0
"Marinicauda"	0.308641975308642	0	0	0	0	0	0	0
"Marinicaulis"	0	0.184842883548983	0.087260034904014	0.500834724540901	0	0	0	0
"Marinicella"	0	0.0924214417744917	0.43630017452007	0.1669449081803	0	0	0	0.0707714083510262
"Marinifilum"	0	0.0924214417744917	0.610820244328098	0	0	0	0	0.0707714083510262
"Marinilabilia"	0	0	0	0	0.0800640512409928	0.0630517023959647	0	0.141542816702052
"Marinimicrobium"	0	0	0.087260034904014	0	0	0	0	0
"Marinirhabdus"	0	0	0.087260034904014	0	0	0	0	0
"Marinisporobacter"	0.154320987654321	0.0924214417744917	0	0.1669449081803	0.0800640512409928	0	0	0
"Marinitenerispora"	0	0	0.087260034904014	0	0	0	0	0
"Marinobacter"	0.771604938271605	0.739371534195933	0.610820244328098	0.834724540901502	0.240192153722978	0.441361916771753	0.971922246220302	0.424628450106157
"Marinobacterium"	0	0	0.087260034904014	0.1669449081803	0.0800640512409928	0.0630517023959647	0.107991360691145	0
